task_column,benchmark,task_id,observed_count,missing_count,missing_fraction,observed_mean,observed_std,observed_min,observed_max,imputed_mean,imputed_normalized_mean,imputed_normalized_std,strength_correlation,difficulty_tier,negative_count,gt_one_count,is_bounded_score_task,is_reliable_observed_task,is_discriminative_task,is_mix_candidate_pool
aider-polyglot/polyglot_cpp_all-your-base,aider-polyglot,polyglot_cpp_all-your-base,27,1,0.0357142857142857,0.3185185185185185,0.3621305647875649,0.0,1.0,0.3142857142857142,0.1904761904761905,0.5938078053971395,0.1697641397321557,medium,0,0,True,True,True,True
aider-polyglot/polyglot_cpp_allergies,aider-polyglot,polyglot_cpp_allergies,27,1,0.0357142857142857,0.4074074074074073,0.3828991995057803,0.0,1.0,0.4071428571428571,0.010204081632653,0.5371458036021166,0.2083890907849511,medium,0,0,True,True,True,True
aider-polyglot/polyglot_cpp_bank-account,aider-polyglot,polyglot_cpp_bank-account,27,1,0.0357142857142857,0.5333333333333333,0.3999999999999999,0.0,1.0,0.5357142857142857,-0.0803571428571428,0.4912337394099614,0.2623453773342724,medium,0,0,True,True,True,True
aider-polyglot/polyglot_cpp_binary-search-tree,aider-polyglot,polyglot_cpp_binary-search-tree,27,1,0.0357142857142857,0.2222222222222222,0.3142696805273545,0.0,1.0,0.2142857142857142,0.5357142857142857,0.7783748113465488,0.1324533846569742,hard,0,0,True,True,True,True
aider-polyglot/polyglot_cpp_circular-buffer,aider-polyglot,polyglot_cpp_circular-buffer,27,1,0.0357142857142857,0.2814814814814814,0.349642184332028,0.0,1.0,0.2785714285714286,0.130952380952381,0.5727910344628291,0.1559938955611247,hard,0,0,True,True,True,True
aider-polyglot/polyglot_cpp_clock,aider-polyglot,polyglot_cpp_clock,27,1,0.0357142857142857,0.3111111111111111,0.3235604395235786,0.0,1.0,0.3071428571428571,0.1785714285714286,0.5306640259053017,0.1856469941549,medium,0,0,True,True,True,True
aider-polyglot/polyglot_cpp_complex-numbers,aider-polyglot,polyglot_cpp_complex-numbers,27,1,0.0357142857142857,0.6296296296296298,0.3064912720826251,0.0,1.0,0.6285714285714288,0.0476190476190476,0.5016977977548923,-0.1095991599427088,medium,0,0,True,True,True,True
aider-polyglot/polyglot_cpp_crypto-square,aider-polyglot,polyglot_cpp_crypto-square,27,1,0.0357142857142857,0.4444444444444444,0.40490815907308,0.0,1.0,0.4428571428571429,0.0535714285714285,0.4971218181098233,0.2143034954748365,medium,0,0,True,True,True,True
aider-polyglot/polyglot_cpp_diamond,aider-polyglot,polyglot_cpp_diamond,27,1,0.0357142857142857,0.5777777777777777,0.3744955454745048,0.0,1.0,0.5785714285714285,-0.0357142857142856,0.6129507458026667,0.3027600330782486,medium,0,0,True,True,True,True
aider-polyglot/polyglot_cpp_dnd-character,aider-polyglot,polyglot_cpp_dnd-character,26,2,0.0714285714285714,0.5384615384615385,0.3175348837007737,0.0,1.0,0.5428571428571429,-0.1038961038961038,0.5570807945331745,0.3409753600429324,medium,0,0,True,True,True,True
aider-polyglot/polyglot_cpp_gigasecond,aider-polyglot,polyglot_cpp_gigasecond,26,2,0.0714285714285714,0.4923076923076923,0.3892034043284159,0.0,1.0,0.4928571428571429,-0.0089285714285714,0.4688137711723242,0.252900097140249,medium,0,0,True,True,True,True
aider-polyglot/polyglot_cpp_grade-school,aider-polyglot,polyglot_cpp_grade-school,27,1,0.0357142857142857,0.6074074074074075,0.3980749286679823,0.0,1.0,0.6142857142857144,-0.2321428571428571,0.4906654165726459,0.3011711087596695,medium,0,0,True,True,True,True
aider-polyglot/polyglot_cpp_kindergarten-garden,aider-polyglot,polyglot_cpp_kindergarten-garden,27,1,0.0357142857142857,0.1407407407407407,0.3211775316841303,0.0,1.0,0.1357142857142857,0.4225522408203733,0.9853419162522106,0.0825300604174482,hard,0,0,True,True,True,True
aider-polyglot/polyglot_cpp_knapsack,aider-polyglot,polyglot_cpp_knapsack,27,1,0.0357142857142857,0.6074074074074075,0.4090874450810096,0.0,1.0,0.6142857142857142,-0.2321428571428571,0.5041283647676108,0.2931282579175039,medium,0,0,True,True,True,True
aider-polyglot/polyglot_cpp_linked-list,aider-polyglot,polyglot_cpp_linked-list,27,1,0.0357142857142857,0.8222222222222223,0.2845832994414599,0.0,1.0,0.8285714285714286,-0.8571428571428573,1.4069796859708723,0.2931053691722988,easy,0,0,True,True,True,True
aider-polyglot/polyglot_cpp_meetup,aider-polyglot,polyglot_cpp_meetup,26,2,0.0714285714285714,0.1615384615384615,0.298814224608539,0.0,1.0,0.1499999999999999,0.75,1.45467227531545,0.0992235421183039,hard,0,0,True,True,True,True
aider-polyglot/polyglot_cpp_parallel-letter-frequency,aider-polyglot,polyglot_cpp_parallel-letter-frequency,27,1,0.0357142857142857,0.1555555555555555,0.2629368792488718,0.0,0.8,0.15,0.75,1.299038105676658,0.1111112211347639,hard,0,0,True,True,True,True
aider-polyglot/polyglot_cpp_perfect-numbers,aider-polyglot,polyglot_cpp_perfect-numbers,27,1,0.0357142857142857,0.7037037037037038,0.3327567028920919,0.0,1.0,0.7071428571428573,-0.2321428571428572,0.8181222277825219,0.2982431957024721,easy,0,0,True,True,True,True
aider-polyglot/polyglot_cpp_phone-number,aider-polyglot,polyglot_cpp_phone-number,27,1,0.0357142857142857,0.3777777777777777,0.3975231959999626,0.0,1.0,0.3714285714285714,0.2448979591836735,0.5596452735021261,0.182466315592366,medium,0,0,True,True,True,True
aider-polyglot/polyglot_cpp_queen-attack,aider-polyglot,polyglot_cpp_queen-attack,27,1,0.0357142857142857,0.3333333333333334,0.3651483716701107,0.0,1.0,0.3285714285714286,0.2571428571428572,0.7188426071662357,0.175931833921738,medium,0,0,True,True,True,True
aider-polyglot/polyglot_cpp_robot-name,aider-polyglot,polyglot_cpp_robot-name,27,1,0.0357142857142857,0.4166666666666667,0.3758939960897171,0.0,1.0,0.4160714285714286,0.0229591836734693,0.5273336207802083,0.2169215793198858,medium,0,0,True,True,True,True
aider-polyglot/polyglot_cpp_space-age,aider-polyglot,polyglot_cpp_space-age,27,1,0.0357142857142857,0.7111111111111111,0.3541639433446495,0.0,1.0,0.7142857142857143,-0.1714285714285715,0.6963461489687967,0.3948162927077724,easy,0,0,True,True,True,True
aider-polyglot/polyglot_cpp_spiral-matrix,aider-polyglot,polyglot_cpp_spiral-matrix,27,1,0.0357142857142857,0.1925925925925926,0.3547831115504606,0.0,1.0,0.1857142857142857,0.9285714285714286,1.751092953161609,0.102052793154239,hard,0,0,True,True,True,True
aider-polyglot/polyglot_cpp_sublist,aider-polyglot,polyglot_cpp_sublist,27,1,0.0357142857142857,0.1777777777777777,0.2897423291201177,0.0,1.0,0.1714285714285714,0.5714285714285713,0.9547589359887344,0.1151825648916385,hard,0,0,True,True,True,True
aider-polyglot/polyglot_cpp_yacht,aider-polyglot,polyglot_cpp_yacht,27,1,0.0357142857142857,0.2666666666666666,0.4036867138796656,0.0,1.0,0.2571428571428572,0.857142857142857,1.3316315670580534,0.1238761215704504,hard,0,0,True,True,True,True
