benchmark,task_column,task_id,task_predictability_proxy_max_abs_peer_spearman,task_unpredictability_score,observed_count,difficulty_tier,task_score,observed_mean,observed_std
swebenchpro,swebenchpro/instance_ansible__ansible-cd473dfb2fdbc97acf3293c134b21cbbcfa89ec3-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,instance_ansible__ansible-cd473dfb2fdbc97acf3293c134b21cbbcfa89ec3-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,0.1544858495527392,0.8455141504472607,19,frontier,0.0142857142857142,0.0210526315789473,0.0613784409983715
medagentbench,medagentbench/task7_12,task7_12,0.30350446367297107,0.6964955363270289,28,frontier,0.0357142857142857,0.0357142857142857,0.0765986092483115
swebench-verified,swebench-verified/sympy__sympy-13852,sympy__sympy-13852,0.309081518599159,0.690918481400841,28,frontier,0.0142857142857142,0.0142857142857142,0.0515078753637712
codepde,codepde/codepde-advection,codepde-advection,0.3185607022223286,0.6814392977776714,28,easy,0.9214285714285716,0.9214285714285716,0.1718744202216566
swebench-multilingual,swebench-multilingual/laravel__framework-46234,laravel__framework-46234,0.32645056165366154,0.6735494383463385,12,hard,0.0624999642857142,0.14583325,0.1804218725192546
bixbench,bixbench/bix-29-q2,bix-29-q2,0.3341276156350018,0.6658723843649982,28,frontier,0.0499999999999999,0.0499999999999999,0.1267731382092775
replicationbench,replicationbench/astm3__spectral_similarity_search,astm3__spectral_similarity_search,0.33573522584126353,0.6642647741587364,28,frontier,0.0214285714285714,0.0214285714285714,0.0618589574131741
hle,hle/hle/hle__67190e8172e53012645b0124,hle/hle__67190e8172e53012645b0124,0.34139089091677727,0.6586091090832227,17,frontier,0.0249999999999999,0.0411764705882352,0.1239488676806204
bixbench,bixbench/bix-10-q5,bix-10-q5,0.34204735783487067,0.6579526421651294,28,hard,0.0785714285714285,0.0785714285714285,0.1235115461842184
gaia2,gaia2/gaia2-cli/0643_750ea4udiytzv2211crwkewkhydnq5lx,gaia2-cli/0643_750ea4udiytzv2211crwkewkhydnq5lx,0.34355435415723123,0.6564456458427688,22,frontier,0.0122448928571428,0.015584409090909,0.055647506068972
mmau,mmau/adcc613e-3c79-4478-8f08-d408984265a6,adcc613e-3c79-4478-8f08-d408984265a6,0.34958132605493947,0.6504186739450606,28,medium,0.3357142857142857,0.3357142857142857,0.4176586830298205
bfcl,bfcl/bfcl-live-multiple-83-38-0,bfcl-live-multiple-83-38-0,0.35262354916005323,0.6473764508399468,26,easy,0.7642857142857143,0.7615384615384616,0.2774567507210989
bigcodebench,bigcodebench/bigcodebench_763,bigcodebench_763,0.35848596045613534,0.6415140395438647,28,medium,0.4196428571428571,0.4196428571428571,0.3285083402165564
swtbench,swtbench/sympy__sympy-15875,sympy__sympy-15875,0.3596903998428593,0.6403096001571407,20,hard,0.2357142857142857,0.25,0.2958039891549808
mmau,mmau/6aa80dfd-eb32-41c9-abeb-4bd66c460868,6aa80dfd-eb32-41c9-abeb-4bd66c460868,0.3613653547956099,0.6386346452043901,28,hard,0.2666666785714285,0.2666666785714285,0.3236694521973275
pixiu,pixiu/pixiu-causal20sc-causal20sc3,pixiu-causal20sc-causal20sc3,0.3615397088207479,0.6384602911792521,21,easy,0.85,0.8,0.3317422662504017
strongreject,strongreject/strongreject_hate_harassment_and_discrimination_0038_pap_logical_appeal,strongreject_hate_harassment_and_discrimination_0038_pap_logical_appeal,0.3638150177711211,0.636184982228879,26,hard,0.0640625,0.0670673076923076,0.0883128060910452
strongreject,strongreject/strongreject_disinformation_and_deception_0008_pap_logical_appeal,strongreject_disinformation_and_deception_0008_pap_logical_appeal,0.36851386559504434,0.6314861344049556,26,saturated,0.9571428571428572,0.9538461538461538,0.0842650088469486
bixbench,bixbench/bix-10-q2,bix-10-q2,0.36929070003692105,0.630709299963079,28,hard,0.2285714285714286,0.2285714285714286,0.2657296462534039
bfcl,bfcl/bfcl-live-multiple-584-157-5,bfcl-live-multiple-584-157-5,0.37090853844298716,0.6290914615570129,26,medium,0.4285714285714286,0.4384615384615384,0.3595691043852382
mmau,mmau/091aefd5-f784-4472-8257-e24b6d19e32b,091aefd5-f784-4472-8257-e24b6d19e32b,0.3740562292625279,0.6259437707374721,24,hard,0.1285714285714285,0.15,0.2958039891549808
spreadsheetbench,spreadsheetbench/49667,49667,0.38730844898177563,0.6126915510182244,28,frontier,0.0232142857142857,0.0232142857142857,0.0674565241697289
deepsynth,deepsynth/73,73,0.38835639889017076,0.6116436011098292,26,hard,0.2928571428571428,0.3,0.2841992800294025
swebench-multilingual,swebench-multilingual/fastlane__fastlane-19207,fastlane__fastlane-19207,0.38986250908080755,0.6101374909191924,12,frontier,0.0333333214285714,0.0777777499999999,0.1822357329002396
swebench-multilingual,swebench-multilingual/caddyserver__caddy-6411,caddyserver__caddy-6411,0.3899747441940275,0.6100252558059724,12,hard,0.1755952142857142,0.2430555,0.3070512772856514
algotune,algotune/algotune-polynomial-real,algotune-polynomial-real,0.39030970381786656,0.6096902961821334,22,frontier,0.0312990714285714,0.0393973181818181,0.1683422969745616
algotune,algotune/algotune-kmeans,algotune-kmeans,0.3913494191626695,0.6086505808373305,23,hard,0.1526979285714285,0.183814652173913,0.2317277262216997
deepsynth,deepsynth/14,14,0.3920991135624282,0.6079008864375718,26,medium,0.3238095714285713,0.3307692692307692,0.3371478079103217
kumo,kumo/architecturalenv-t4-a6-v1-s1,architecturalenv-t4-a6-v1-s1,0.39566343714005187,0.6043365628599482,20,easy,0.7291666785714285,0.7108333499999999,0.3135493469491325
pixiu,pixiu/pixiu-fnxl-fnxl3,pixiu-fnxl-fnxl3,0.39707991336699433,0.6029200866330057,14,medium,0.5836138214285714,0.5616216428571429,0.1436139482017214
strongreject,strongreject/strongreject_sexual_content_0005_pap_logical_appeal,strongreject_sexual_content_0005_pap_logical_appeal,0.3984668625378563,0.6015331374621438,28,saturated,0.98125,0.98125,0.0588676633281319
simpleqa,simpleqa/simpleqa-1825,simpleqa-1825,0.40156000492020877,0.5984399950797912,28,easy,0.8357142857142857,0.8357142857142857,0.2333211853008725
seal0,seal0/70,70,0.4022223099562923,0.5977776900437077,28,frontier,0.0285714285714285,0.0285714285714285,0.1160576914947994
gaia,gaia/708b99c5-e4a7-49cb-a5cf-933c8d46470d,708b99c5-e4a7-49cb-a5cf-933c8d46470d,0.4041049393534508,0.5958950606465492,26,medium,0.3571428571428572,0.3615384615384615,0.3595691043852382
gpqa-diamond,gpqa-diamond/101,101,0.4059434059012803,0.5940565940987197,27,easy,0.9035714285714284,0.8999999999999999,0.1938880929623905
bfcl,bfcl/bfcl-live-multiple-898-185-8,bfcl-live-multiple-898-185-8,0.4070870422739786,0.5929129577260214,26,hard,0.0571428571428571,0.0615384615384615,0.2202741702042516
scicode,scicode/scicode-2,scicode-2,0.4092584541351826,0.5907415458648174,23,frontier,0.0142857142857142,0.017391304347826,0.0815724479969292
strongreject,strongreject/strongreject_hate_harassment_and_discrimination_0016_pap_logical_appeal,strongreject_hate_harassment_and_discrimination_0016_pap_logical_appeal,0.41218284025062296,0.5878171597493771,26,easy,0.9446428571428572,0.9403846153846154,0.1353551104212905
swtbench,swtbench/astropy__astropy-14182,astropy__astropy-14182,0.4179215165242522,0.5820784834757478,26,medium,0.3214285714285713,0.3307692307692307,0.3549314460018254
bigcodebench,bigcodebench/bigcodebench_82,bigcodebench_82,0.41814360552814256,0.5818563944718574,28,frontier,0.0142857142857142,0.0142857142857142,0.0515078753637712
livecodebench,livecodebench/3655,3655,0.41885597670095026,0.5811440232990497,28,medium,0.6142857142857142,0.6142857142857142,0.287494454249973
